import time: self [us] | cumulative | imported package
import time:      6062 |      16561 |               sympy.core.numbers
import time:       761 |      17839 |             sympy.core.mul
import time:       151 |        151 |                 sympy.core.coreerrors
import time:       413 |        563 |               sympy.core.exprtools
import time:       376 |        938 |             sympy.core.mod
import time:      2189 |      22161 |           sympy.core.expr
import time:       151 |        151 |           sympy.core.multidimensional
import time:       291 |      97311 |         sympy.core
import time:       795 |        795 |           sympy.assumptions.assume
import time:       265 |        265 |             sympy.assumptions.cnf
import time:       172 |        172 |             sympy.assumptions.ask_generated
import time:      1223 |       1659 |           sympy.assumptions.ask
import time:       210 |        210 |           sympy.assumptions.refine
import time:       447 |        447 |             sympy.assumptions.relation.binrel
import time:       149 |        595 |           sympy.assumptions.relation
import time:       182 |       3440 |         sympy.assumptions
import time:       432 |        432 |               sympy.polys.polyerrors
import time:      1841 |       2273 |             sympy.polys.polyoptions
import time:       131 |        131 |                   sympy.polys.domains.domainelement
import time:       260 |        260 |                   sympy.polys.orderings
import time:       460 |        460 |                   sympy.polys.polyutils
import time:       363 |       1212 |                 sympy.polys.domains.domain
import time:       165 |        165 |                     sympy.polys.domains.ring
import time:       168 |        333 |                   sympy.polys.domains.field
import time:       181 |        181 |                   sympy.polys.domains.modularinteger
import time:       132 |        132 |                   sympy.polys.domains.simpledomain
import time:       121 |        121 |                     sympy.polys.domains.pythonrational
import time:       156 |        276 |                   sympy.polys.domains.groundtypes
import time:       216 |       1135 |                 sympy.polys.domains.finitefield
import time:       135 |        135 |                   sympy.polys.domains.characteristiczero
import time:       196 |        330 |                 sympy.polys.domains.integerring
import time:       183 |        183 |                 sympy.polys.domains.rationalfield
import time:       232 |        232 |                       sympy.polys.monomials
import time:       358 |        589 |                     sympy.polys.densebasic
import time:       245 |        245 |                     sympy.polys.densearith
import time:       315 |        315 |                     sympy.polys.densetools
import time:        62 |         62 |                           array
import time:       187 |        187 |                           sympy.ntheory.primetest
import time:       557 |        804 |                         sympy.ntheory.generate
import time:       127 |        127 |                           sympy.ntheory.digits
import time:       193 |        193 |                           sympy.ntheory.ecm
import time:      1485 |       1805 |                         sympy.ntheory.factor_
import time:       515 |        515 |                           sympy.ntheory.residue_ntheory
import time:       209 |        723 |                         sympy.ntheory.partitions_
import time:       137 |        137 |                         sympy.ntheory.multinomial
import time:       137 |        137 |                         sympy.ntheory.continued_fraction
import time:       142 |        142 |                         sympy.ntheory.egyptian_fraction
import time:       215 |        215 |                         sympy.ntheory.qs
import time:       244 |       4204 |                       sympy.ntheory
import time:       178 |        178 |                         sympy.polys.polyconfig
import time:       314 |        492 |                       sympy.polys.galoistools
import time:       271 |       4966 |                     sympy.polys.euclidtools
import time:       169 |        169 |                     sympy.polys.sqfreetools
import time:       374 |        374 |                     sympy.polys.factortools
import time:       390 |        390 |                     sympy.polys.rootisolation
import time:       749 |       7792 |                   sympy.polys.polyclasses
import time:       336 |       8127 |                 sympy.polys.domains.algebraicfield
import time:       367 |        367 |                 sympy.polys.domains.gaussiandomains
import time:       240 |        240 |                   sympy.polys.domains.mpelements
import time:       308 |        547 |                 sympy.polys.domains.realfield
import time:       852 |        852 |                 sympy.polys.domains.complexfield
import time:       147 |        147 |                   sympy.polys.domains.compositedomain
import time:       219 |        365 |                 sympy.polys.domains.polynomialring
import time:       195 |        195 |                 sympy.polys.domains.fractionfield
import time:       260 |        260 |                 sympy.polys.domains.expressiondomain
import time:       175 |        175 |                 sympy.polys.domains.expressionrawdomain
import time:       166 |        166 |                   sympy.polys.domains.pythonintegerring
import time:       153 |        319 |                 sympy.polys.domains.pythonfinitefield
import time:       188 |        188 |                   sympy.polys.domains.gmpyintegerring
import time:       161 |        349 |                 sympy.polys.domains.gmpyfinitefield
import time:       259 |        259 |                 sympy.polys.domains.pythonrationalfield
import time:       174 |        174 |                 sympy.polys.domains.gmpyrationalfield
import time:       308 |      15151 |               sympy.polys.domains
import time:       189 |      15339 |             sympy.polys.constructor
import time:       158 |        158 |             sympy.polys.fglmtools
import time:       248 |        248 |             sympy.polys.groebnertools
import time:       172 |        172 |             sympy.polys.rationaltools
import time:      1668 |      19855 |           sympy.polys.polytools
import time:       162 |        162 |                       sympy.functions.combinatorial
import time:      1568 |       1730 |                     sympy.functions.combinatorial.factorials
import time:       126 |        126 |                         sympy.functions.elementary
import time:      1180 |       1180 |                         sympy.functions.elementary.miscellaneous
import time:      1991 |       1991 |                             sympy.sets.sets
import time:      1740 |       1740 |                             sympy.sets.fancysets
import time:       366 |        366 |                             sympy.sets.contains
import time:       322 |        322 |                             sympy.sets.conditionset
import time:       624 |        624 |                             sympy.sets.ordinals
import time:       268 |        268 |                             sympy.sets.powerset
import time:       138 |        138 |                               sympy.sets.handlers
import time:      3115 |       3252 |                             sympy.sets.handlers.comparison
import time:       305 |       8865 |                           sympy.sets
import time:       386 |       9250 |                         sympy.sets.setexpr
import time:      1493 |      12047 |                       sympy.functions.elementary.exponential
import time:      2988 |       2988 |                       sympy.functions.elementary.integers
import time:      2789 |       2789 |                         sympy.functions.elementary.hyperbolic
import time:       708 |        708 |                         sympy.functions.elementary.piecewise
import time:      4018 |       7514 |                       sympy.functions.elementary.trigonometric
import time:       149 |        149 |                       sympy.utilities.memoization
import time:      3016 |      25713 |                     sympy.functions.combinatorial.numbers
import time:      2866 |       2866 |                     sympy.functions.elementary.complexes
import time:       145 |        145 |                       sympy.functions.special
import time:      2871 |       2871 |                       sympy.functions.special.hyper
import time:      3733 |       6748 |                     sympy.functions.special.error_functions
import time:      1369 |       1369 |                       sympy.functions.special.zeta_functions
import time:      1537 |       2905 |                     sympy.functions.special.gamma_functions
import time:       663 |        663 |                     sympy.functions.special.tensor_functions
import time:       726 |        726 |                       sympy.functions.special.delta_functions
import time:       390 |       1116 |                     sympy.functions.special.singularity_functions
import time:       190 |        190 |                     sympy.functions.special.bsplines
import time:       201 |        201 |                       sympy.polys.orthopolys
import time:      3525 |       3725 |                     sympy.functions.special.bessel
import time:      2125 |       2125 |                     sympy.functions.special.polynomials
import time:       550 |        550 |                     sympy.functions.special.spherical_harmonics
import time:       941 |        941 |                     sympy.functions.special.elliptic_integrals
import time:       688 |        688 |                     sympy.functions.special.beta_functions
import time:      1039 |       1039 |                     sympy.functions.special.mathieu_functions
import time:       421 |      51414 |                   sympy.functions
import time:        23 |      51437 |                 sympy.functions.elementary
